Area,mnemonic,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,Not in employment
ualad09:Tower Hamlets,E09000030,4447,47191,7557,14750,701,910,13517,1038,8112,21598,1052,75679
msoa2011:Tower Hamlets 001,E02000864,124,1177,218,681,17,34,508,43,376,395,19,2551
msoa2011:Tower Hamlets 002,E02000865,146,1022,216,550,17,23,366,22,310,434,27,2170
msoa2011:Tower Hamlets 003,E02000866,224,1947,204,755,30,42,623,52,639,438,28,2609
msoa2011:Tower Hamlets 004,E02000867,168,3004,299,520,24,48,626,38,404,360,23,2382
msoa2011:Tower Hamlets 005,E02000868,182,1115,173,549,10,22,283,26,529,588,19,1859
msoa2011:Tower Hamlets 006,E02000869,147,659,133,484,31,33,243,17,378,724,25,1610
msoa2011:Tower Hamlets 007,E02000870,108,1274,167,389,18,22,338,29,297,403,27,1831
msoa2011:Tower Hamlets 008,E02000871,100,1438,339,427,5,25,495,35,144,292,28,2769
msoa2011:Tower Hamlets 009,E02000872,196,1071,228,568,25,37,251,16,436,1021,31,2080
msoa2011:Tower Hamlets 010,E02000873,101,1199,218,521,6,25,382,46,264,475,24,3627
msoa2011:Tower Hamlets 011,E02000874,94,1058,198,340,18,16,340,28,182,411,31,2628
msoa2011:Tower Hamlets 012,E02000875,92,1645,311,408,16,32,569,45,208,323,24,3168
msoa2011:Tower Hamlets 013,E02000876,129,1306,232,379,8,21,275,16,285,587,24,2438
msoa2011:Tower Hamlets 014,E02000877,109,1559,290,591,10,24,544,34,224,355,18,3347
msoa2011:Tower Hamlets 015,E02000878,262,1519,286,568,24,22,269,28,380,1704,36,3547
msoa2011:Tower Hamlets 016,E02000879,95,1076,205,451,15,16,407,32,221,515,26,2600
msoa2011:Tower Hamlets 017,E02000880,76,820,170,353,13,16,264,20,204,521,24,1920
msoa2011:Tower Hamlets 018,E02000881,99,931,205,314,21,15,462,32,91,278,10,2274
msoa2011:Tower Hamlets 019,E02000882,70,1114,240,431,24,16,533,49,197,424,23,2864
msoa2011:Tower Hamlets 020,E02000883,78,899,215,538,14,14,465,44,73,366,18,2723
msoa2011:Tower Hamlets 021,E02000884,156,1680,277,482,19,36,305,29,330,1711,62,2558
msoa2011:Tower Hamlets 022,E02000885,73,823,243,370,12,17,330,19,147,488,18,2468
msoa2011:Tower Hamlets 023,E02000886,119,1632,282,417,24,36,418,32,212,707,59,1871
msoa2011:Tower Hamlets 024,E02000887,72,1217,314,526,23,28,528,47,123,540,22,2690
msoa2011:Tower Hamlets 025,E02000888,153,1778,322,298,33,42,438,32,207,731,27,2228
msoa2011:Tower Hamlets 026,E02000889,130,1096,183,355,42,39,350,26,271,1179,25,1656
msoa2011:Tower Hamlets 027,E02000890,199,1278,148,508,88,46,346,26,262,1106,22,1013
msoa2011:Tower Hamlets 028,E02000891,271,3751,448,398,32,41,665,51,181,1451,57,3018
msoa2011:Tower Hamlets 030,E02000893,106,1583,186,349,22,33,553,30,146,376,32,1827
msoa2011:Tower Hamlets 031,E02000894,273,3046,284,819,26,59,715,51,243,603,150,2235
msoa2011:Tower Hamlets 032,E02006853,125,1773,179,257,8,17,361,21,85,974,31,1841
msoa2011:Tower Hamlets 033,E02006854,170,1701,144,154,26,13,265,22,63,1118,62,1277
